132,271,286,142,0
182,270,287,143,1
226,272,287,143,1
270,271,287,143,1
314,272,287,143,1
359,273,287,142,1
403,274,287,142,1
445,277,287,139,1
489,277,287,138,1
572,278,290,138,1
612,279,289,137,1
528,279,289,137,1
445,345,245,117,1
466,344,245,117,1
507,347,276,117,1
545,347,276,117,1
585,346,255,117,1
212,243,196,99,1
249,243,196,99,1
283,244,196,99,1
315,244,196,99,1
344,245,196,99,1
373,247,196,99,1
402,248,196,99,1
433,249,196,99,1
467,248,196,99,1
495,249,196,99,1
522,249,196,99,1
548,249,196,99,1
580,249,196,99,1
613,251,196,99,1
