209,15,356,191,0
303,13,294,188,0
189,268,291,129,0
208,395,319,147,0
229,168,206,109,0
349,142,258,139,0
298,506,273,115,0
529,625,307,206,1
482,559,234,144,0
225,594,269,157,0
331,667,239,164,0
186,575,195,106,0
188,12,185,149,0
184,157,223,131,0
152,27,148,130,0
77,71,218,106,0
93,244,198,95,0
84,318,207,84,1
252,739,201,92,0
104,676,199,96,0
132,759,159,70,0
150,381,229,99,0
136,456,200,102,0
259,521,244,101,0
226,475,185,99,0
831,247,248,152,1
339,390,218,140,0
404,383,217,135,0
468,381,217,123,0
536,381,202,123,0
598,376,204,113,0
408,25,228,188,0
443,27,224,180,0
477,35,221,172,0
522,38,203,169,0
273,275,277,122,1
372,483,235,96,0
391,488,243,104,0
388,480,244,112,0
452,486,215,108,0
597,377,228,125,0
634,385,223,107,0
667,375,215,131,0
691,388,206,106,0
747,385,173,105,0
744,376,196,86,0
779,371,191,110,0
808,383,204,80,0
508,465,186,109,0
549,542,190,121,0
599,540,163,176,0
626,530,163,158,0
561,467,173,118,0
658,525,165,115,0
689,517,174,141,0
700,506,198,169,0
771,507,149,170,0
734,493,210,161,0
704,661,211,113,0
681,703,205,128,1
