232,296,551,302,0
1,603,426,231,0
1,302,172,172,0
90,312,137,159,0
110,544,248,116,0
1,473,158,100,0
1,574,128,111,0
1,195,94,117,0
90,208,88,105,0
180,223,52,87,0
1,63,204,161,0
126,35,324,196,0
122,2,124,37,0
41,1,176,47,0
274,56,247,192,0
236,1,89,47,1
279,1,211,95,0
288,70,225,144,0
406,112,150,126,0
430,124,163,121,0
177,2,206,63,0
199,1,237,69,0
278,2,258,95,0
340,2,239,105,0
389,5,264,117,0
474,5,215,123,0
530,5,192,135,0
554,10,229,129,0
615,18,200,138,0
673,24,181,139,0
703,47,198,150,0
768,29,214,190,0
805,1,253,102,0
745,165,184,105,0
